37;40
39;40
38;39
36;38
35;36
35;45
44;45
43;44
42;43
41;42
9;41
8;9
7;8
1;7
1;6
5;6
4;5
4;69
68;69
68;82
82;83
83;92
92;93
93;94
25;31
30;31
30;32
29;32
28;29
28;33
33;34
34;41
69;84
84;85
85;86
86;87
87;88
88;89
89;90
90;91
26;30
19;26
19;59
18;59
17;18
16;17
3;16
3;6
6;14
14;15
15;73
73;74
74;75
75;76
80;81
79;80
58;79
58;78
77;78
65;77
65;66
66;67
67;71
71;72
15;72
3;10
10;11
11;12
12;13
13;33
33;52
52;53
53;54
54;55
55;56
56;57
27;57
22;70
21;70
20;21
3;20
0;3
0;7
7;49
48;49
47;48
46;47
46;51
50;51
60;61
61;62
62;63
63;64
64;65
2;65
2;48
22;23
23;24
